1,1030,370,93,221,0
2,1030,370,93,221,0
3,1031,370,92,222,0
4,1032,370,91,222,0
5,1032,370,91,223,0
6,1033,370,90,223,0
7,1034,370,89,224,0
8,1034,370,89,224,0
9,1035,370,88,225,0
10,1036,370,87,225,0
11,1037,370,87,226,0
12,1035,373,88,223,0
13,1034,376,88,220,0
14,1033,380,88,216,0
15,1032,383,88,214,0
16,1031,387,89,210,0
17,1029,390,90,207,0
18,1028,393,90,205,0
19,1027,397,90,201,0
20,1026,400,90,198,0
21,1025,404,91,195,0
22,1024,406,92,192,0
23,1023,409,93,188,0
24,1022,412,94,184,0
25,1021,415,96,180,0
26,1020,418,97,176,0
27,1019,420,98,173,0
28,1018,423,100,169,0
29,1017,426,101,165,0
30,1016,429,102,161,0
31,1016,432,103,158,0
32,1016,429,103,161,0
33,1016,427,103,163,0
34,1016,424,103,166,0
35,1016,422,103,168,0
36,1016,420,103,170,0
37,1016,417,103,173,0
38,1016,415,103,175,0
39,1016,412,103,178,0
40,1016,410,103,180,0
41,1016,408,103,182,0
42,1013,405,103,186,0
43,1010,403,103,190,0
44,1007,401,103,193,0
45,1004,399,103,197,0
46,1001,397,103,201,0
47,998,395,103,204,0
48,995,393,103,208,0
49,992,391,103,211,0
50,989,389,103,215,0
51,986,387,103,219,0
52,984,386,102,219,0
53,983,385,100,219,0
54,981,384,99,219,0
55,980,384,97,219,0
56,979,383,95,219,0
57,977,382,94,219,0
58,976,382,92,219,0
59,974,381,91,219,0
60,973,380,89,219,0
61,972,380,87,219,0
62,972,380,86,219,0
63,972,380,85,219,0
64,972,380,85,219,0
65,972,380,84,219,0
66,973,381,83,219,0
67,973,381,82,219,0
68,973,381,81,219,0
69,973,381,81,219,0
70,973,381,80,219,0
71,974,382,79,219,0
72,974,382,79,219,0
73,975,383,79,219,0
74,976,384,79,219,0
75,976,385,79,219,0
76,977,386,79,219,0
77,978,386,79,219,0
78,978,387,79,219,0
79,979,388,79,219,0
80,980,389,79,219,0
81,981,390,79,219,0
82,981,391,78,217,0
83,981,392,78,216,0
84,981,393,77,215,0
85,981,394,77,214,0
86,981,395,77,213,0
87,981,396,76,211,0
88,981,397,76,210,0
89,981,398,75,209,0
90,981,399,75,208,0
91,981,400,75,207,0
92,977,400,76,207,0
93,974,400,77,207,0
94,970,400,79,207,0
95,967,400,79,207,0
96,963,400,81,207,0
97,960,400,82,207,0
98,956,400,83,207,0
99,953,400,84,207,0
100,949,400,86,207,0
101,946,401,87,207,0
102,943,400,87,207,0
103,940,399,87,208,0
104,937,398,87,209,0
105,934,397,87,210,0
106,931,396,87,211,0
107,928,395,87,212,0
108,925,394,87,213,0
109,922,393,87,214,0
110,919,392,87,215,0
111,916,392,87,215,0
112,914,392,87,215,0
113,913,392,87,216,0
114,911,392,87,217,0
115,910,392,87,218,0
116,909,392,87,219,0
117,907,392,87,220,0
118,906,392,87,221,0
119,904,392,87,222,0
120,903,392,87,223,0
121,902,392,87,224,0
122,901,393,87,223,0
123,900,394,88,222,0
124,899,396,89,220,0
125,898,397,89,219,0
126,897,399,90,217,0
127,896,400,91,216,0
128,895,401,91,215,0
129,894,403,92,213,0
130,893,404,93,212,0
131,892,406,94,210,0
132,894,406,94,209,0
133,896,406,95,209,0
134,898,406,96,209,0
135,900,406,96,209,0
136,903,406,96,209,0
137,905,406,97,209,0
138,907,406,97,209,0
139,909,406,98,209,0
140,911,406,99,209,0
141,914,407,99,208,0
142,917,405,99,209,0
143,920,403,99,211,0
144,923,401,99,212,0
145,927,399,98,214,0
146,930,397,99,215,0
147,933,395,99,217,0
148,937,393,98,218,0
149,940,391,98,220,0
150,943,389,98,221,0
151,947,387,98,223,0
152,948,386,97,224,0
153,950,386,95,224,0
154,952,386,93,224,0
155,953,385,92,225,0
156,955,385,90,225,0
157,957,385,88,225,0
158,958,384,87,226,0
159,960,384,85,226,0
160,962,384,83,226,0
161,964,384,82,227,0
162,963,386,83,225,0
163,963,389,84,222,0
164,962,392,85,219,0
165,962,395,86,216,0
166,961,398,87,213,0
167,961,401,88,210,0
168,960,404,89,207,0
169,960,407,90,204,0
170,959,410,91,201,0
171,959,413,92,199,0
172,956,414,94,199,0
173,954,416,95,198,0
174,952,418,96,197,0
175,950,420,97,196,0
176,948,422,98,195,0
177,946,424,99,194,0
178,944,426,100,193,0
179,942,428,101,192,0
180,940,430,102,191,0
181,938,432,103,190,0
182,937,431,101,190,0
183,936,430,100,190,0
184,935,429,99,190,0
185,934,429,98,189,0
186,933,428,97,189,0
187,932,427,95,189,0
188,931,427,94,188,0
189,930,426,93,188,0
190,929,425,92,188,0
191,928,425,91,188,0
192,925,423,91,190,0
193,922,421,92,192,0
194,919,420,93,193,0
195,917,418,92,196,0
196,914,417,93,197,0
197,911,415,94,199,0
198,909,413,93,202,0
199,906,412,94,203,0
200,903,410,95,205,0
201,901,409,95,207,0
202,896,407,95,208,0
203,892,405,95,210,0
204,888,403,95,212,0
205,883,402,95,213,0
206,879,400,95,215,0
